◇ injecting env (13) from .env.local // tip: ◈ encrypted .env [www.dotenvx.com]
Fetching dirty products from Supabase...
Scanned 1000 rows, 13 dirty so far...
Scanned 2000 rows, 1009 dirty so far...
Scanned 3000 rows, 2006 dirty so far...
Scanned 4000 rows, 3003 dirty so far...
Scanned 5000 rows, 4001 dirty so far...
Scanned 6000 rows, 5001 dirty so far...
Scanned 7000 rows, 6001 dirty so far...
Scanned 8000 rows, 7001 dirty so far...
Scanned 9000 rows, 8001 dirty so far...
Scanned 10000 rows, 9001 dirty so far...
Scanned 11000 rows, 10001 dirty so far...
Scanned 12000 rows, 11001 dirty so far...
Scanned 13000 rows, 12001 dirty so far...
Scanned 14000 rows, 12996 dirty so far...
Scanned 15000 rows, 13994 dirty so far...
Scanned 16000 rows, 14991 dirty so far...
Scanned 17000 rows, 15971 dirty so far...
Scanned 17444 rows, 16364 dirty so far...

Found 16364 dirty products. Starting cleanup...

Batch 1/655 — fixed: 25, skipped: 0
Batch 2/655 — fixed: 50, skipped: 0
Batch 3/655 — fixed: 75, skipped: 0
Batch 4/655 — fixed: 100, skipped: 0
Batch 5/655 — fixed: 125, skipped: 0
Batch 6/655 — fixed: 150, skipped: 0
Batch parse error: fetch failed
Batch 7/655 — fixed: 150, skipped: 0
Batch 8/655 — fixed: 175, skipped: 0
Batch 9/655 — fixed: 200, skipped: 0
Batch 10/655 — fixed: 225, skipped: 0
Batch 11/655 — fixed: 250, skipped: 0
Batch 12/655 — fixed: 275, skipped: 0
Batch 13/655 — fixed: 300, skipped: 0
Batch 14/655 — fixed: 325, skipped: 0
Batch 15/655 — fixed: 350, skipped: 0
Batch 16/655 — fixed: 375, skipped: 0
Batch 17/655 — fixed: 400, skipped: 0
Batch 18/655 — fixed: 425, skipped: 0
Batch 19/655 — fixed: 450, skipped: 0
Batch 20/655 — fixed: 475, skipped: 0
Batch 21/655 — fixed: 500, skipped: 0
Batch 22/655 — fixed: 525, skipped: 0
Batch 23/655 — fixed: 550, skipped: 0
Batch 24/655 — fixed: 575, skipped: 0
Batch 25/655 — fixed: 600, skipped: 0
Batch 26/655 — fixed: 625, skipped: 0
Batch 27/655 — fixed: 650, skipped: 0
Batch 28/655 — fixed: 675, skipped: 0
Batch 29/655 — fixed: 700, skipped: 0
Batch 30/655 — fixed: 725, skipped: 0
Batch 31/655 — fixed: 750, skipped: 0
Batch 32/655 — fixed: 775, skipped: 0
Batch 33/655 — fixed: 800, skipped: 0
Batch 34/655 — fixed: 825, skipped: 0
Batch 35/655 — fixed: 850, skipped: 0
Batch 36/655 — fixed: 875, skipped: 0
Batch 37/655 — fixed: 900, skipped: 0
Batch 38/655 — fixed: 925, skipped: 0
Batch 39/655 — fixed: 950, skipped: 0
Batch 40/655 — fixed: 975, skipped: 0
Batch 41/655 — fixed: 1000, skipped: 0
Batch 42/655 — fixed: 1025, skipped: 0
Batch 43/655 — fixed: 1050, skipped: 0
Batch 44/655 — fixed: 1075, skipped: 0
Batch 45/655 — fixed: 1100, skipped: 0
Batch 46/655 — fixed: 1125, skipped: 0
Batch 47/655 — fixed: 1150, skipped: 0
Batch 48/655 — fixed: 1175, skipped: 0
Batch 49/655 — fixed: 1200, skipped: 0
Batch 50/655 — fixed: 1225, skipped: 0
Batch 51/655 — fixed: 1250, skipped: 0
Batch 52/655 — fixed: 1275, skipped: 0
Batch 53/655 — fixed: 1300, skipped: 0
Batch 54/655 — fixed: 1325, skipped: 0
Batch 55/655 — fixed: 1350, skipped: 0
Batch 56/655 — fixed: 1375, skipped: 0
Batch 57/655 — fixed: 1400, skipped: 0
Batch 58/655 — fixed: 1425, skipped: 0
Batch 59/655 — fixed: 1450, skipped: 0
Batch 60/655 — fixed: 1475, skipped: 0
Batch 61/655 — fixed: 1500, skipped: 0
Batch 62/655 — fixed: 1525, skipped: 0
Batch 63/655 — fixed: 1550, skipped: 0
Batch 64/655 — fixed: 1575, skipped: 0
Batch 65/655 — fixed: 1600, skipped: 0
Batch 66/655 — fixed: 1625, skipped: 0
Batch 67/655 — fixed: 1650, skipped: 0
Batch 68/655 — fixed: 1675, skipped: 0
Batch 69/655 — fixed: 1700, skipped: 0
Batch 70/655 — fixed: 1725, skipped: 0
Batch 71/655 — fixed: 1750, skipped: 0
Batch 72/655 — fixed: 1775, skipped: 0
Batch 73/655 — fixed: 1800, skipped: 0
Batch 74/655 — fixed: 1825, skipped: 0
Batch 75/655 — fixed: 1850, skipped: 0
Batch 76/655 — fixed: 1875, skipped: 0
Batch 77/655 — fixed: 1900, skipped: 0
Batch 78/655 — fixed: 1925, skipped: 0
Batch 79/655 — fixed: 1950, skipped: 0
Batch 80/655 — fixed: 1975, skipped: 0
Batch 81/655 — fixed: 2000, skipped: 0
Batch 82/655 — fixed: 2025, skipped: 0
